[2026-02-16 03:46:07] [WARNING ] discord.ext.commands.bot: Privileged message content intent is missing, commands may not work as expected.
[2026-02-16 03:46:07] [INFO    ] discord.client: logging in using static token
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1465193852649472022', 'username': 'Post_Ban-ner', 'avatar': 'c9d87cf1fcb6081bfd9de68c0588b5dc', 'discriminator': '0195', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-16 03:46:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1465193852649472022', 'name': 'Post_Ban-ner', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1465193852649472022', 'username': 'Post_Ban-ner', 'avatar': 'c9d87cf1fcb6081bfd9de68c0588b5dc', 'discriminator': '0195', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8cdcd6f48feaed90e6d6229c9a1a96ad2d5847d94c15e26588ba51bf94a6a284', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '871353544480030751', 'username': '.chocolate.milk.', 'avatar': '7a8308c53acff21b9f4d10938dfa09e1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 36568, 'global_name': 'Cookie Monster', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#008ed8', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-16 03:46:08] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-16 03:46:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-6tv4",{"micros":0.0}]']}}
[2026-02-16 03:46:08] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-16 03:46:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-16 03:46:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Post_Ban-ner', 'primary_guild': None, 'mfa_enabled': False, 'id': '1465193852649472022', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0195', 'clan': None, 'bot': True, 'avatar': 'c9d87cf1fcb6081bfd9de68c0588b5dc'}, 'session_type': 'normal', 'session_id': 'a95163a0d3498b29cc6410c3b7786d79', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1340817807922696318'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['seattle', 'oregon', 'santa-clara', 'us-west', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1465193852649472022', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-6tv4",{"micros":106578,"calls":["id_created",{"micros":524,"calls":[]},"session_lookup_time",{"micros":206,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-56",{"micros":105578,"calls":["start_session",{"micros":104556,"calls":["discord-api-rpc-66c79f4bd4-4g4wq",{"micros":52532,"calls":["get_user",{"micros":27238},"get_guilds",{"micros":3516},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":1474},"apex_experiments",{"micros":44843},"sessions_experiments",{"micros":7},"user_activities",{"micros":2},"played_application_ids",{"micros":2},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":77,"calls":[]},"presence_started",{"micros":364,"calls":[]},"guilds_started",{"micros":52,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":506,"calls":[]},"connect_finished",{"micros":516,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-02-16 03:46:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-16 03:46:09] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: a95163a0d3498b29cc6410c3b7786d79).
[2026-02-16 03:46:09] [DEBUG   ] discord.client: Dispatching event connect
